what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1553051088122
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553051089755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553051092525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553051095720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553051097996
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1553051104109
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553051112343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051116136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051118858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051123777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051298771
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553051298889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553051301937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553051302676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553051303635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1553051307207
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1553051319622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051320055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051320560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051322120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051328995
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553051329185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051336564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553051404471
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1553051404538
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553051421068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1553051511006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553051513696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553051533429
